"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29"
7.4,39.2,7.6000000000000005,2.4000000000000004,7.6000000000000005,43.2,7.6000000000000005,47.2,7.6000000000000005,58.400000000000006,7.6000000000000005,62.400000000000006,7.6000000000000005,77.60000000000001,"","",7.6000000000000005,100.80000000000001,7.6000000000000005,107.2,"","",7.800000000000001,86.4,7.800000000000001,93.60000000000001,8.200000000000001,32.800000000000004,"","",9.600000000000001,66.4,13.8,74.4,"","",19.8,2.4000000000000004,23.400000000000002,86.4,"","",31.,80.80000000000001,"","","","","","",22.6,40.800000000000004,28.6,54.400000000000006,"","","",""
7.6000000000000005,39.2,7.800000000000001,2.4000000000000004,7.800000000000001,43.2,7.800000000000001,47.2,7.800000000000001,58.400000000000006,7.800000000000001,62.400000000000006,7.800000000000001,77.60000000000001,"","",7.800000000000001,100.80000000000001,7.800000000000001,107.2,"","",8.,86.4,8.,93.60000000000001,8.4,32.800000000000004,"","",9.8,66.4,14.,74.4,"","",20.,2.4000000000000004,23.6,86.4,"","",31.200000000000003,80.80000000000001,"","","","","","",22.8,40.800000000000004,28.8,54.400000000000006,"","","",""
7.800000000000001,39.2,8.,2.4000000000000004,8.,43.2,8.,47.2,8.,58.400000000000006,8.,62.400000000000006,8.,78.4,"","",8.,100.80000000000001,8.,107.2,"","",8.200000000000001,86.4,8.200000000000001,93.60000000000001,8.6,32.800000000000004,"","",10.,66.4,14.200000000000001,74.4,"","",20.200000000000003,2.4000000000000004,23.8,86.4,"","",31.400000000000002,80.80000000000001,"","","","","","",23.,40.800000000000004,29.,54.400000000000006,"","","",""
8.,39.2,8.200000000000001,2.4000000000000004,8.200000000000001,43.2,8.200000000000001,47.2,8.200000000000001,58.400000000000006,8.200000000000001,62.400000000000006,8.200000000000001,79.2,"","",8.200000000000001,100.80000000000001,8.200000000000001,107.2,"","",8.4,86.4,8.4,93.60000000000001,8.8,32.800000000000004,"","",10.200000000000001,66.4,14.4,74.4,"","",20.400000000000002,2.4000000000000004,24.,86.4,"","","","","","","","","","",23.200000000000003,40.800000000000004,29.200000000000003,55.2,"","","",""
8.200000000000001,39.2,8.4,2.4000000000000004,8.4,42.400000000000006,8.4,47.2,8.4,58.400000000000006,8.4,62.400000000000006,8.4,79.2,"","",8.4,100.80000000000001,8.4,107.2,"","",8.6,86.4,8.6,93.60000000000001,9.,32.800000000000004,"","",10.4,66.4,14.600000000000001,74.4,"","",20.6,2.4000000000000004,24.200000000000003,86.4,"","","","","","","","","","",23.400000000000002,40.800000000000004,29.400000000000002,56.,"","","",""
8.4,39.2,8.6,2.4000000000000004,8.6,42.400000000000006,8.6,47.2,8.6,58.400000000000006,"","",8.6,79.2,"","",8.6,100.80000000000001,8.6,107.2,"","",8.8,86.4,8.8,93.60000000000001,9.200000000000001,32.800000000000004,"","",10.600000000000001,66.4,14.8,74.4,"","",20.8,2.4000000000000004,24.400000000000002,86.4,"","","","","","","","","","",23.6,40.800000000000004,29.6,56.,"","","",""
8.6,39.2,8.8,2.4000000000000004,8.8,42.400000000000006,8.8,47.2,8.8,58.400000000000006,"","",8.8,80.,"","",8.8,100.80000000000001,8.8,107.2,"","",9.,86.4,9.,93.60000000000001,9.4,32.800000000000004,"","",10.8,66.4,15.,74.4,"","",21.,2.4000000000000004,24.6,86.4,"","","","","","","","","","",23.8,40.800000000000004,29.8,56.,"","","",""
8.8,39.2,9.,2.4000000000000004,9.,42.400000000000006,9.,47.2,9.,59.2,"","",9.,80.,"","",9.,100.80000000000001,9.,107.2,"","",9.200000000000001,86.4,9.200000000000001,93.60000000000001,9.600000000000001,32.800000000000004,"","",11.,66.4,15.200000000000001,74.4,"","",21.200000000000003,2.4000000000000004,24.8,86.4,"","","","","","","","","","",24.,40.800000000000004,30.,55.2,"","","",""
9.,39.2,9.200000000000001,2.4000000000000004,9.200000000000001,42.400000000000006,9.200000000000001,47.2,9.200000000000001,59.2,"","",9.200000000000001,80.80000000000001,"","",9.200000000000001,100.80000000000001,9.200000000000001,107.2,"","",9.4,86.4,9.4,93.60000000000001,9.8,32.800000000000004,"","",11.200000000000001,66.4,15.4,74.4,"","",21.400000000000002,2.4000000000000004,25.,86.4,"","","","","","","","","","",24.200000000000003,40.800000000000004,30.200000000000003,55.2,"","","",""
9.200000000000001,39.2,9.4,2.4000000000000004,9.4,42.400000000000006,9.4,47.2,9.4,59.2,"","",9.4,80.80000000000001,"","",9.4,100.80000000000001,9.4,107.2,"","",9.600000000000001,86.4,9.600000000000001,93.60000000000001,10.,33.6,"","",11.4,66.4,15.600000000000001,74.4,"","",21.6,2.4000000000000004,25.200000000000003,86.4,"","","","","","","","","","",24.400000000000002,40.800000000000004,30.400000000000002,55.2,"","","",""
9.4,39.2,9.600000000000001,1.6,9.600000000000001,42.400000000000006,9.600000000000001,47.2,9.600000000000001,59.2,"","",9.600000000000001,81.60000000000001,"","",9.600000000000001,100.80000000000001,9.600000000000001,107.2,"","",9.8,86.4,9.8,93.60000000000001,10.200000000000001,33.6,"","",11.600000000000001,66.4,15.8,74.4,"","",21.8,2.4000000000000004,25.400000000000002,86.4,"","","","","","","","","","",24.6,40.800000000000004,30.6,54.400000000000006,"","","",""
9.600000000000001,39.2,9.8,1.6,9.8,42.400000000000006,9.8,47.2,9.8,59.2,"","",9.8,81.60000000000001,"","",9.8,100.80000000000001,9.8,107.2,"","",10.,86.4,10.,93.60000000000001,10.4,33.6,"","",11.8,66.4,16.,74.4,"","",22.,2.4000000000000004,25.6,86.4,"","","","","","","","","","",24.8,40.800000000000004,30.8,54.400000000000006,"","","",""
9.8,39.2,10.,1.6,10.,42.400000000000006,10.,47.2,10.,59.2,"","",10.,82.4,"","",10.,100.80000000000001,10.,107.2,"","",10.200000000000001,86.4,10.200000000000001,93.60000000000001,10.600000000000001,33.6,"","",12.,66.4,16.2,74.4,"","",22.200000000000003,2.4000000000000004,25.8,86.4,"","","","","","","","","","",25.,40.800000000000004,31.,54.400000000000006,"","","",""
10.,39.2,10.200000000000001,1.6,10.200000000000001,42.400000000000006,10.200000000000001,47.2,10.200000000000001,60.,"","",10.200000000000001,82.4,"","",10.200000000000001,100.80000000000001,10.200000000000001,107.2,"","",10.4,86.4,10.4,93.60000000000001,10.8,33.6,"","",12.200000000000001,66.4,16.400000000000002,74.4,"","",22.400000000000002,2.4000000000000004,26.,86.4,"","","","","","","","","","",25.200000000000003,40.800000000000004,31.200000000000003,54.400000000000006,"","","",""
10.200000000000001,39.2,10.4,1.6,10.4,42.400000000000006,10.4,47.2,10.4,60.,"","",10.4,82.4,"","",10.4,100.80000000000001,10.4,107.2,"","",10.600000000000001,86.4,10.600000000000001,93.60000000000001,11.,33.6,"","",12.4,66.4,16.6,74.4,"","",22.6,2.4000000000000004,26.200000000000003,86.4,"","","","","","","","","","",25.400000000000002,40.800000000000004,31.400000000000002,54.400000000000006,"","","",""
10.4,39.2,10.600000000000001,1.6,10.600000000000001,42.400000000000006,10.600000000000001,47.2,10.600000000000001,60.,"","",10.600000000000001,83.2,"","",10.600000000000001,100.80000000000001,10.600000000000001,107.2,"","",10.8,85.60000000000001,10.8,93.60000000000001,11.200000000000001,33.6,"","",12.600000000000001,66.4,16.8,74.4,"","",22.8,2.4000000000000004,26.400000000000002,86.4,"","","","","","","","","","",25.6,40.800000000000004,31.6,54.400000000000006,"","","",""
10.600000000000001,39.2,10.8,1.6,10.8,42.400000000000006,10.8,47.2,10.8,60.,"","",10.8,84.,"","",10.8,100.80000000000001,10.8,107.2,"","",11.,84.80000000000001,11.,93.60000000000001,11.4,34.4,"","",12.8,66.4,17.,74.4,"","",23.,2.4000000000000004,26.6,86.4,"","","","","","","","","","",25.8,40.800000000000004,31.8,54.400000000000006,"","","",""
10.8,39.2,11.,1.6,11.,42.400000000000006,11.,47.2,11.,60.,"","",11.,84.80000000000001,"","",11.,100.80000000000001,11.,107.2,"","","","",11.200000000000001,93.60000000000001,11.600000000000001,34.4,"","",13.,66.4,17.2,74.4,"","",23.200000000000003,2.4000000000000004,26.8,86.4,"","","","","","","","","","",26.,40.800000000000004,32.,54.400000000000006,"","","",""
11.,39.2,11.200000000000001,1.6,11.200000000000001,42.400000000000006,11.200000000000001,48.,11.200000000000001,60.,"","",11.200000000000001,84.80000000000001,"","",11.200000000000001,100.80000000000001,11.200000000000001,107.2,"","","","",11.4,93.60000000000001,11.8,34.4,"","",13.200000000000001,66.4,17.400000000000002,74.4,"","",23.400000000000002,2.4000000000000004,27.,86.4,"","","","","","","","","","",26.200000000000003,40.800000000000004,32.2,54.400000000000006,"","","",""
