"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15"
"","",10.200000000000001,124.,10.4,101.60000000000001,"","","","",11.200000000000001,0.8,"","",13.600000000000001,147.20000000000002,14.8,46.400000000000006,"","","","","","",34.4,64.8,"","",13.8,117.60000000000001
"","",10.4,124.80000000000001,10.600000000000001,101.60000000000001,"","","","",11.4,0.8,"","",13.8,147.20000000000002,15.,46.400000000000006,"","","","","","",34.6,64.8,"","",14.,117.60000000000001
"","",10.600000000000001,124.80000000000001,10.8,101.60000000000001,"","","","",11.600000000000001,0.8,"","",14.,147.20000000000002,15.200000000000001,46.400000000000006,"","","","","","",34.800000000000004,64.8,"","",14.200000000000001,117.60000000000001
"","",10.8,124.80000000000001,11.,101.60000000000001,"","","","",11.8,0.8,"","",14.200000000000001,147.20000000000002,15.4,46.400000000000006,"","","","","","",35.,64.8,"","",14.4,117.60000000000001
"","",11.,124.80000000000001,11.200000000000001,101.60000000000001,"","","","",12.,0.8,"","",14.4,147.20000000000002,15.600000000000001,46.400000000000006,"","","","","","",35.2,64.8,"","",14.600000000000001,117.60000000000001
"","",11.200000000000001,125.60000000000001,11.4,101.60000000000001,"","","","",12.200000000000001,0.8,"","",14.600000000000001,146.4,15.8,46.400000000000006,"","","","","","",35.4,64.8,"","",14.8,117.60000000000001
"","",11.4,125.60000000000001,11.600000000000001,101.60000000000001,"","","","",12.4,0.8,"","",14.8,146.4,16.,46.400000000000006,"","","","","","",35.6,64.8,"","",15.,117.60000000000001
"","",11.600000000000001,125.60000000000001,11.8,101.60000000000001,"","","","",12.600000000000001,0.8,"","",15.,146.4,16.2,46.400000000000006,"","","","","","",35.800000000000004,64.8,"","","",""
"","",11.8,126.4,12.,101.60000000000001,"","","","",12.8,0.8,"","",15.200000000000001,146.4,16.400000000000002,46.400000000000006,"","","","","","",36.,64.8,"","","",""
"","",12.,126.4,12.200000000000001,101.60000000000001,"","","","",13.,0.8,"","",15.4,146.4,16.6,46.400000000000006,"","","","","","",36.2,64.8,"","","",""
"","",12.200000000000001,126.4,12.4,101.60000000000001,"","","","",13.200000000000001,0.8,"","",15.600000000000001,146.4,16.8,46.400000000000006,"","","","","","",36.4,64.8,"","","",""
"","",12.4,127.2,12.600000000000001,101.60000000000001,"","","","",13.4,0.8,"","",15.8,146.4,17.,46.400000000000006,"","","","","","",36.6,64.,"","","",""
"","",12.600000000000001,127.2,12.8,101.60000000000001,"","","","",13.600000000000001,0.8,"","",16.,146.4,17.2,46.400000000000006,"","","","","","",36.800000000000004,64.,"","","",""
"","",12.8,127.2,13.,101.60000000000001,"","","","",13.8,0.8,"","",16.2,146.4,17.400000000000002,46.400000000000006,"","","","","","",37.,64.,"","","",""
"","",13.,127.2,13.200000000000001,101.60000000000001,"","","","",14.,0.8,"","",16.400000000000002,145.6,17.6,46.400000000000006,"","","","","","",37.2,64.,"","","",""
"","",13.200000000000001,127.2,13.4,101.60000000000001,"","","","",14.200000000000001,0.8,"","",16.6,145.6,17.8,46.400000000000006,"","","","","","",37.4,64.8,"","","",""
"","",13.4,127.2,13.600000000000001,101.60000000000001,"","","","",14.4,0.8,"","",16.8,145.6,18.,46.400000000000006,"","","","","","",37.6,64.8,"","","",""
"","",13.600000000000001,128.,13.8,101.60000000000001,"","","","",14.600000000000001,0.8,"","",17.,145.6,18.2,46.400000000000006,"","","","","","",37.800000000000004,64.8,"","","",""
"","",13.8,128.,14.,101.60000000000001,"","","","",14.8,0.8,"","",17.2,146.4,18.400000000000002,46.400000000000006,"","","","","","",38.,64.8,"","","",""
"","",14.,128.,14.200000000000001,101.60000000000001,"","","","",15.,0.8,"","",17.400000000000002,146.4,18.6,46.400000000000006,"","","","","","",38.2,64.8,"","","",""
"","",14.200000000000001,128.,14.4,101.60000000000001,"","","","",15.200000000000001,0.8,"","",17.6,146.4,18.8,46.400000000000006,"","","","","","",38.400000000000006,64.8,"","","",""
"","",14.4,128.8,14.600000000000001,101.60000000000001,"","","","",15.4,0.8,"","",17.8,146.4,19.,46.400000000000006,"","","","","","",38.6,64.8,"","","",""
"","",14.600000000000001,128.8,14.8,101.60000000000001,"","","","",15.600000000000001,0.8,"","",18.,146.4,19.200000000000003,46.400000000000006,"","","","","","",38.800000000000004,64.8,"","","",""
"","",14.8,128.8,15.,101.60000000000001,"","","","",15.8,0.8,"","",18.2,146.4,19.400000000000002,46.400000000000006,"","","","","","",39.,64.8,"","","",""
"","",15.,128.8,15.200000000000001,101.60000000000001,"","","","",16.,0.8,"","",18.400000000000002,146.4,19.6,46.400000000000006,"","","","","","",39.2,64.8,"","","",""
"","",15.200000000000001,128.8,15.4,101.60000000000001,"","","","",16.2,0.8,"","",18.6,146.4,19.8,46.400000000000006,"","","","","","",39.400000000000006,64.8,"","","",""
"","",15.4,129.6,15.600000000000001,101.60000000000001,"","","","",16.400000000000002,0.8,"","",18.8,146.4,20.,46.400000000000006,"","","","","","",39.6,64.8,"","","",""
"","",15.600000000000001,129.6,15.8,101.60000000000001,"","","","",16.6,0.8,"","",19.,146.4,20.200000000000003,46.400000000000006,"","","","","","","","","","","",""
"","",15.8,129.6,16.,101.60000000000001,"","","","",16.8,0.8,"","",19.200000000000003,146.4,20.400000000000002,46.400000000000006,"","","","","","","","","","","",""
"","",16.,129.6,16.2,101.60000000000001,"","","","",17.,0.8,"","",19.400000000000002,146.4,20.6,46.400000000000006,"","","","","","","","","","","",""
"","",16.2,129.6,16.400000000000002,101.60000000000001,"","","","",17.2,0.8,"","",19.6,146.4,20.8,46.400000000000006,"","","","","","","","","","","",""
"","",16.400000000000002,130.4,16.6,101.60000000000001,"","","","",17.400000000000002,0.8,"","",19.8,146.4,21.,46.400000000000006,"","","","","","","","","","","",""
"","",16.6,130.4,16.8,101.60000000000001,"","","","",17.6,0.8,"","",20.,146.4,21.200000000000003,46.400000000000006,"","","","","","","","","","","",""
"","",16.8,130.4,17.,101.60000000000001,"","","","",17.8,0.8,"","",20.200000000000003,146.4,21.400000000000002,46.400000000000006,"","","","","","","","","","","",""
"","",17.,130.4,17.2,101.60000000000001,"","","","",18.,0.8,"","",20.400000000000002,146.4,21.6,46.400000000000006,"","","","","","","","","","","",""
"","",17.2,130.4,17.400000000000002,101.60000000000001,"","","","",18.2,0.8,"","",20.6,146.4,21.8,46.400000000000006,"","","","","","","","","","","",""
