"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35","t [pixel] #36","x [pixel] #36"
25.,26.400000000000002,"","",25.,108.80000000000001,"","","","",25.,160.,"","",25.,169.60000000000002,25.,200.,25.200000000000003,60.800000000000004,"","",25.200000000000003,181.60000000000002,25.400000000000002,113.60000000000001,"","",26.6,9.600000000000001,"","","","",26.6,39.2,"","",33.4,15.200000000000001,"","","","",30.,59.2,"","","","","","","","","","","","","","","","","","","","",28.,96.,"","","",""
25.200000000000003,26.400000000000002,"","",25.200000000000003,109.60000000000001,"","","","",25.200000000000003,160.,"","",25.200000000000003,169.60000000000002,25.200000000000003,200.,25.400000000000002,60.800000000000004,"","",25.400000000000002,181.60000000000002,25.6,112.80000000000001,"","",26.8,9.600000000000001,"","","","",26.8,39.2,"","",33.6,15.200000000000001,"","","","",30.200000000000003,59.2,"","","","","","","","","","","","","","","","","","","","",28.200000000000003,96.,"","","",""
25.400000000000002,26.400000000000002,"","",25.400000000000002,110.4,"","","","",25.400000000000002,160.8,"","",25.400000000000002,169.60000000000002,25.400000000000002,200.,25.6,60.800000000000004,"","",25.6,181.60000000000002,25.8,112.,"","",27.,10.4,"","","","",27.,39.2,"","",33.800000000000004,15.200000000000001,"","","","",30.400000000000002,60.,"","","","","","","","","","","","","","","","","","","","",28.400000000000002,96.,"","","",""
25.6,26.400000000000002,"","",25.6,111.2,"","","","",25.6,161.60000000000002,"","",25.6,169.60000000000002,25.6,200.,25.8,60.800000000000004,"","",25.8,181.60000000000002,"","","","",27.200000000000003,10.4,"","","","",27.200000000000003,39.2,"","",34.,15.200000000000001,"","","","",30.6,60.,"","","","","","","","","","","","","","","","","","","","",28.6,96.,"","","",""
25.8,26.400000000000002,"","",25.8,112.,"","","","",25.8,162.4,"","",25.8,169.60000000000002,25.8,199.20000000000002,26.,60.800000000000004,"","",26.,181.60000000000002,"","","","",27.400000000000002,11.200000000000001,"","","","",27.400000000000002,39.2,"","",34.2,15.200000000000001,"","","","",30.8,60.,"","","","","","","","","","","","","","","","","","","","",28.8,96.,"","","",""
26.,26.400000000000002,"","",26.,112.80000000000001,"","","","",26.,163.20000000000002,"","",26.,169.60000000000002,26.,199.20000000000002,26.200000000000003,60.800000000000004,"","",26.200000000000003,181.60000000000002,"","","","",27.6,11.200000000000001,"","","","",27.6,39.2,"","",34.4,15.200000000000001,"","","","",31.,60.800000000000004,"","","","","","","","","","","","","","","","","","","","",29.,96.,"","","",""
26.200000000000003,26.400000000000002,"","",26.200000000000003,113.60000000000001,"","","","",26.200000000000003,163.20000000000002,"","",26.200000000000003,169.60000000000002,26.200000000000003,199.20000000000002,26.400000000000002,60.800000000000004,"","",26.400000000000002,181.60000000000002,"","","","",27.8,11.200000000000001,"","","","",27.8,39.2,"","",34.6,15.200000000000001,"","","","",31.200000000000003,60.800000000000004,"","","","","","","","","","","","","","","","","","","","",29.200000000000003,96.,"","","",""
26.400000000000002,26.400000000000002,"","",26.400000000000002,114.4,"","","","",26.400000000000002,164.,"","",26.400000000000002,169.60000000000002,26.400000000000002,200.,26.6,60.800000000000004,"","",26.6,181.60000000000002,"","","","",28.,11.200000000000001,"","","","",28.,39.2,"","",34.800000000000004,15.200000000000001,"","","","",31.400000000000002,60.800000000000004,"","","","","","","","","","","","","","","","","","","","",29.400000000000002,96.,"","","",""
26.6,26.400000000000002,"","",26.6,114.4,"","","","",26.6,164.,"","",26.6,169.60000000000002,26.6,200.,26.8,60.800000000000004,"","",26.8,181.60000000000002,"","","","",28.200000000000003,11.200000000000001,"","","","",28.200000000000003,39.2,"","",35.,15.200000000000001,"","","","",31.6,61.6,"","","","","","","","","","","","","","","","","","","","",29.6,96.,"","","",""
26.8,26.400000000000002,"","",26.8,115.2,"","","","",26.8,164.8,"","",26.8,169.60000000000002,26.8,200.,27.,60.800000000000004,"","",27.,181.60000000000002,"","","","",28.400000000000002,11.200000000000001,"","","","",28.400000000000002,39.2,"","",35.2,15.200000000000001,"","","","",31.8,61.6,"","","","","","","","","","","","","","","","","","","","",29.8,96.,"","","",""
